,coefficient,std_err,t_value,p_value,ci_lower,ci_upper
C(state_clean)[T.Iowa],-0.03548387096774155,0.16431293737991756,-0.21595299514180805,0.8302780464160304,-0.36905686785681424,0.2980891259213312
C(state_clean)[T.Kansas],0.2999999999999998,0.13344542139598298,2.248110102704734,0.03097005552469337,0.029091392035306918,0.5709086079646928
C(state_clean)[T.Kentucky],2.6709062533023305e-16,0.13344542139598295,2.001497110475408e-15,0.9999999999999984,-0.27090860796469257,0.2709086079646931
C(state_clean)[T.Louisiana],0.09999999999999994,0.13344542139598298,0.7493700342349113,0.4586415711693099,-0.17090860796469298,0.3709086079646928
C(state_clean)[T.Maine],-0.13548387096774198,0.16431293737991756,-0.8245477996323672,0.4152125826810833,-0.46905686785681466,0.19808912592133074
C(state_clean)[T.Maryland],-0.20000000000000004,0.13344542139598303,-1.4987400684698233,0.14290733127901306,-0.470908607964693,0.07090860796469298
C(state_clean)[T.Massachusetts],-0.20000000000000004,0.13344542139598303,-1.4987400684698233,0.14290733127901306,-0.470908607964693,0.07090860796469298
C(state_clean)[T.Michigan],-0.1499999999999997,0.13344542139598295,-1.1240550513523657,0.2686402447883576,-0.42090860796469254,0.12090860796469316
C(state_clean)[T.Minnesota],-0.1999999999999998,0.13344542139598298,-1.498740068469822,0.1429073312790133,-0.4709086079646927,0.07090860796469312
C(state_clean)[T.Mississippi],0.049999999999999996,0.13344542139598303,0.3746850171174557,0.7101555069123799,-0.22090860796469303,0.320908607964693
C(state_clean)[T.Missouri],-0.05000000000000002,0.13344542139598298,-0.37468501711745605,0.7101555069123797,-0.3209086079646929,0.2209086079646929
C(state_clean)[T.Montana],-0.03548387096774174,0.16431293737991773,-0.21595299514180902,0.8302780464160298,-0.3690568678568148,0.2980891259213313
C(state_clean)[T.Nebraska],-0.03548387096774204,0.16431293737991767,-0.2159529951418109,0.8302780464160282,-0.36905686785681496,0.2980891259213309
C(state_clean)[T.Nevada],-0.10000000000000007,0.13344542139598298,-0.7493700342349124,0.45864157116930937,-0.370908607964693,0.17090860796469282
C(state_clean)[T.New_Hampshire],-0.13548387096774203,0.16431293737991773,-0.8245477996323668,0.4152125826810835,-0.4690568678568151,0.19808912592133102
C(state_clean)[T.New_Jersey],0.05000000000000003,0.13344542139598303,0.374685017117456,0.7101555069123797,-0.22090860796469297,0.32090860796469306
C(state_clean)[T.New_Mexico],-0.035483870967742075,0.16431293737991773,-0.21595299514181104,0.8302780464160282,-0.36905686785681513,0.29808912592133097
C(state_clean)[T.New_York],-0.06333333333333342,0.12423092647436042,-0.5098032762913071,0.6133891335477233,-0.3155355221028179,0.18886885543615106
C(state_clean)[T.North_Carolina],-0.05000000000000033,0.13344542139598306,-0.37468501711745816,0.7101555069123782,-0.3209086079646934,0.22090860796469275
C(state_clean)[T.North_Dakota],-0.035483870967742796,0.16431293737991765,-0.21595299514181554,0.8302780464160247,-0.3690568678568157,0.2980891259213301
C(state_clean)[T.Ohio],-0.05000000000000026,0.13344542139598303,-0.3746850171174577,0.7101555069123784,-0.3209086079646933,0.22090860796469275
C(state_clean)[T.Oklahoma],0.06666666666666624,0.1277642638504817,0.5217943160122147,0.6051002556994649,-0.1927085783232653,0.3260419116565978
C(state_clean)[T.Oregon],-0.13548387096774242,0.16431293737991773,-0.8245477996323691,0.4152125826810823,-0.46905686785681544,0.19808912592133063
C(state_clean)[T.Pennsylvania],-0.15000000000000005,0.13344542139598303,-1.1240550513523677,0.26864024478835663,-0.4209086079646931,0.12090860796469297
C(state_clean)[T.Rhode_Island],-0.03548387096774234,0.16431293737991773,-0.21595299514181265,0.8302780464160269,-0.3690568678568154,0.2980891259213307
C(state_clean)[T.South_Carolina],2.8840691481586285e-16,0.13344542139598306,2.1612349962914833e-15,0.9999999999999982,-0.2709086079646928,0.27090860796469335
C(state_clean)[T.Tennessee],0.19999999999999996,0.13344542139598303,1.4987400684698227,0.14290733127901317,-0.07090860796469306,0.47090860796469297
C(state_clean)[T.Texas],-0.02999999999999975,0.1242309264743604,-0.2414857624537747,0.8105878759144564,-0.28220218876948416,0.22220218876948467
C(state_clean)[T.Utah],-0.03548387096774229,0.16431293737991784,-0.2159529951418122,0.8302780464160272,-0.3690568678568156,0.29808912592133097
C(state_clean)[T.Virginia],-0.06333333333333291,0.1242309264743604,-0.5098032762913031,0.613389133547726,-0.3155355221028173,0.1888688554361515
C(state_clean)[T.Washington],-0.1633333333333333,0.12423092647436042,-1.3147558178038952,0.1971421560835324,-0.41553552210281774,0.08886885543615117
C(state_clean)[T.West_Virginia],-0.03548387096774219,0.1643129373799178,-0.21595299514181165,0.8302780464160276,-0.3690568678568154,0.298089125921331
C(state_clean)[T.Wisconsin],-0.15000000000000016,0.13344542139598303,-1.1240550513523684,0.2686402447883564,-0.4209086079646932,0.12090860796469285
C(state_clean)[T.Wyoming],0.0645161290322584,0.16431293737991778,0.3926418093487477,0.6969652196883562,-0.26905686785681476,0.39808912592133155
